preprocessing,label,class_name,entropy,sobel_edge_energy,mean_intensity,std_intensity
raw,0,no_tumor,5.944057949111593,0.1466440565950914,0.18271556,0.1565244
raw,1,tumor,7.450065594028096,0.9708116294357887,0.36118165,0.253163
raw,0,no_tumor,4.944840798816974,0.8659994305765488,0.6338266,0.39776003
raw,1,tumor,6.57990319323467,1.057611801031624,0.4154948,0.30140483
raw,0,no_tumor,4.924778463373876,0.26508449090178565,0.12286306,0.15798444
raw,0,no_tumor,5.521387447194942,0.7199876879988696,0.20704442,0.22093178
raw,1,tumor,6.215361888800971,0.45988749548514524,0.24141656,0.17327486
raw,1,tumor,6.470866501948336,0.9250955906410614,0.39746502,0.30854258
raw,0,no_tumor,5.713385026249753,0.5224994385617019,0.22529632,0.23802729
raw,1,tumor,6.005850880177308,0.7353892497181862,0.22887465,0.22865647
raw,1,tumor,5.3280232569150785,0.48542653873227093,0.18257627,0.15996136
raw,1,tumor,5.580374037888911,0.7036917863801315,0.25839102,0.23517464
raw,0,no_tumor,5.858763621364417,0.5501906802456356,0.2539197,0.21456042
raw,0,no_tumor,3.0625441394986535,0.322498480735454,0.07140347,0.14600182
raw,1,tumor,7.450065594028096,0.9708116294357887,0.36118165,0.253163
raw,1,tumor,6.41328264566867,0.4684006996195512,0.21648334,0.19281831
raw,0,no_tumor,5.983429156525837,0.6346095741377975,0.21796134,0.20343593
raw,1,tumor,5.787812675366501,0.3911892152135687,0.21822177,0.21775909
raw,1,tumor,6.3049414681177876,0.45782712753367716,0.22629061,0.18605766
raw,0,no_tumor,4.9568449854625545,0.8559732751141692,0.20960504,0.23137431
raw,0,no_tumor,4.9568449854625545,0.8559732751141692,0.20960504,0.23137431
raw,1,tumor,6.857178963492013,0.9334388584976185,0.3597697,0.2804612
raw,1,tumor,6.709905309948698,0.718521590173216,0.2590782,0.23481503
raw,0,no_tumor,5.386451746539948,0.38535857302414483,0.12832487,0.16945471
raw,1,tumor,6.913093239509487,0.9458650310065146,0.32650077,0.24873634
raw,1,tumor,5.89071546597509,1.3730297506075506,0.33959267,0.3442449
raw,1,tumor,7.140091230800584,0.28050271417548833,0.3036674,0.21777077
raw,1,tumor,7.415063663978399,0.7186165435519648,0.36564296,0.268511
raw,1,tumor,5.864507245036948,0.296593240393458,0.14848587,0.15605424
raw,1,tumor,5.619305142880557,0.6915113711652846,0.25847527,0.234343
raw,1,tumor,6.3097362113747355,0.46562459380211685,0.22515127,0.267419
